,Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
0,4.039518929,13.5965041,0.84510081,-0.09782340409,F5V+...,15.77412163,0.9974914563737304
1,6.655718505,4.010332379,1.050016772,1.386670488,K5III,15.34497611,-0.0021675635037863962
2,6.405060259,0.3488552925,0.9615975694,0.9515032794,B0IVpe,12.23610321,0.9929704886884274
3,9.113068325,2.954461177,1.251422429,1.002818528,K1III,15.56083786,0.00190483108285944
4,6.107686065,3.144180222,0.4757949348,0.4933451652,G8II-IIIvar,12.77198068,0.0021151813549207406
5,7.337770821,12.25434728,0.6510409785,0.3304929226,F4V,17.31556703,1.0002275150390247
6,7.316559621,0.662464335,0.7204639089,-0.05674331472,B4V:ne,12.84531666,0.9976028251442873
7,7.379829768,4.494504869,0.5948629345,1.322638588,K2III,15.52872058,-0.0006272749511877567
8,9.284616676,7.392760926,1.116968735,0.6297430075,G3V,19.62646307,0.9999177249802707
9,8.646859685,4.137043808,1.239574822,0.3712632637,F6V:,17.28402069,0.9992941170191382
10,9.41286999,1.806702001,1.184481828,1.013331161,G8III,16.43405308,0.0021792377082670124
11,7.125797476,2.363118793,0.7329175697,0.1654612921,B5V,14.74816835,0.9981673559192281
12,8.076614386,3.780741239,1.004937258,0.8253863469,G8III,17.00259728,0.002761226102520617
13,8.341736584,3.587353825,0.7091155173,0.3550736052,F0V,16.56169051,0.999312972364902
14,2.937387018,6.141718296,0.6721124278,0.409221059,A4III,17.05270623,0.0012006194587151156
15,8.332726436,2.611932797,0.9418403825,0.9787819286,G8III,15.9401762,0.0017145095872977121
16,9.320108992,3.13633539,1.453230184,0.3765740844,F3Vp...,16.92946173,0.9993877173135772
17,8.969481601,7.334916301,0.970462405,0.9895085623,K0III,17.72157814,0.0033686132026025358
18,8.48807438,2.774083605,1.566579069,0.4124631143,F2V,18.04085242,0.9986708647382211
19,8.679270323,3.35873802,1.205999681,1.128538813,K0II SB,16.26527888,0.0010817552319552224
20,8.065336861,2.465030464,1.072002851,0.9674834608,G8III,15.11844113,0.0012135597507425587
21,8.748729658,7.498885203,0.8840571404,0.6152289815,A9V,17.97285706,0.9993660387944
22,7.250854033,17.02964293,0.8285446013,0.7619117344,G0V,20.3613947,0.9995790662913665
23,8.92581941,2.920262024,0.8086007812,1.357759477,K1III,16.83023824,0.00030308317342206853
24,8.047574986,0.2556618965,1.231851473,1.17343668,K1III,12.11229432,-0.0012679705681476658
25,8.756894124,22.14454062,0.7313299671,1.040020837,M1V,20.74871148,1.0002900496196259
26,7.854422142,3.200146238,1.364096173,1.248005431,K3II-III,15.91991737,-0.0005844566828705623
27,7.624577065,12.89186775,0.8186339975,-0.207584413,K1III/IV,16.33480224,0.9998375202791038
28,7.650968749,8.060388189,1.083558919,0.347226473,F3V,17.64420451,0.999429022695669
29,9.436441842,8.139398215,1.4064975,0.5159693655,F7V,19.19225472,1.0003313026373788
30,6.400337491,6.547426605,0.623485016,0.9341854537,K0III,14.79173403,0.0010197212967239572
31,8.250339928,4.045806775,1.262831824,0.9764100766,K0III,16.70569907,0.0017924877555538378
32,6.054910586,6.944149581,0.4596891827,0.9821928965,G8III,15.35350579,0.0008094773887736069
33,8.146052944,15.73777315,0.9859728643,0.8443623368,K0V,18.49152603,0.9990609554617381
34,8.84817131,8.234573183,1.065555972,0.8186655211,G5/G6V,17.72434079,0.9982910489620918
35,8.432099726,1.976569602,0.9358889212,0.2177296081,B2III,15.90377419,0.005175893610860462
36,8.750155506,-2.037763816,1.061899538,-0.1232031866,K0III/IV,13.19563406,0.9978949285825343
37,6.597620006,6.140692681,0.9044593019,0.9885804742,G8III,15.51390651,0.0007268919342079875
38,6.027145939,12.63327636,1.004540183,1.035730128,K1III,16.58276592,0.0012170139955282825
39,8.646716343,6.451595235,1.060695703,0.6152805089,G0V,17.48336942,0.9988285642341572
40,8.250997813,2.64187277,0.8614514623,1.427199098,K2III,15.75321274,-0.0010538146448667198
41,8.321417965,0.9053978904,0.8581403828,0.9261363619,K0III,14.03845142,0.0013346559074895908
42,8.766142316,8.555136945,1.077956285,0.3857235807,F7V,19.58002404,1.0007759493867716
43,8.63422792,7.260545503,0.9732425896,0.8326340194,G5V,18.90624026,0.9982515664986231
44,8.522534003,3.047931225,0.856127885,0.9412025815,G8III/IV,16.74731044,0.9964345383943258
45,9.057578233,-0.3983996611,1.336246944,0.4463920575,F5 + (K)III,10.16438728,0.00275858386122897
46,7.510157879,4.050666627,0.9122083778,0.9119387476,G8III,15.69379905,0.001616604007585473
47,8.617460841,0.5211308839,0.85931788,1.51477586,K5III,12.8344059,-0.002373124120420678
48,8.617583869,0.01913617855,1.257493115,0.8580262138,G8III,8.115349263,-1.7817060919430454e-06
49,9.414945766,3.167520709,1.868893695,0.4912459679,F2V,16.52538892,0.9985306526082058
50,7.853289989,1.594559409,0.8030032011,1.197236101,K1III,15.6254217,-0.00010129803305935012
51,8.811152925,-1.002491597,1.296801364,0.4134860775,F8II,15.94710094,0.004045462209507453
52,8.230944324,6.445692499,0.9874253432,0.5046267734,F3V,18.45261811,0.9993014401119198
53,9.451104372,19.75376635,0.9233635636,0.7241856139,G6V,21.04424755,1.00213230217538
54,8.838338931,3.723110954,1.086140168,0.2757482349,A9V,17.96606862,1.000011831296189
55,7.520576917,3.710816354,0.7346843933,1.168556318,K0III,15.2849995,0.00012297367138038696
56,8.608540886,9.050840561,1.635851036,0.4612787935,F5V,18.78195385,0.9997223480196463
57,8.558420888,-0.1349765797,0.8894812802,0.7744813408,G0II,11.44485061,0.0015309409580676599
58,4.16470814,16.15003217,0.567715089,0.2112697073,F0V,17.38050476,0.9986747781026868
59,4.127215213,2.05830719,0.6649029113,-0.06488023947,B9II-III,11.92480448,0.0009907075347067495
60,7.419211491,3.097915918,0.6312549833,0.3839764184,F2III,15.47312621,0.004164936310496894
61,9.467613136,6.182710038,1.997439178,0.9177436283,A7IV/V,18.48723352,0.9972596778472987
62,8.41751841,5.915462074,1.358910176,0.6078690007,F0V,16.7185873,0.9981277330681034
63,7.409903859,3.2289934,0.9644762239,-0.0005434656644,B8IIIn,14.4828839,0.004374684133965151
64,7.772558225,7.413329047,0.7205205701,0.7120865245,G0V,21.32514515,0.999028479045952
65,7.559572516,14.00757013,0.8870150004,0.5217482436,G2V,19.17672688,1.0001793631929952
66,10.08981093,2.95409289,1.240757228,0.5960134,G2/G3V,17.18219678,0.9993070273351142
67,9.384814791,0.5924088435,1.230963581,0.2009560647,B9III,14.26990133,0.005109140621540125
68,9.688827484,1.616680666,1.230468688,-0.05647169295,B8/B9III,15.04457754,0.005807793869601209
69,6.594052978,2.400906228,0.5709922081,0.01010407215,B5V,15.33671611,0.9981359231226485
70,9.088143843,23.85543862,1.027269178,1.091036915,K5V,22.04942661,1.0005953995407069
71,8.827086022,0.8529007352,1.90800749,1.291395321,G0IIvar,14.3151238,-0.0013193721035274718
72,9.009258342,18.36751819,1.118852819,0.7372162764,G5V,19.76739703,1.0009786736986128
73,3.155992419,13.87750341,0.5319151782,0.03167722867,B9III,15.06470646,0.0031475629794150916
74,8.396778089,4.202895934,1.068233013,1.480854176,M4III,17.72697452,-0.0007204919572082596
75,9.19999607,4.989761474,2.083870992,0.2990153802,A9V,18.02281432,0.9995574348194176
76,8.214619324,1.562469518,0.7854485279,1.465748746,K2III,14.48383499,-0.001749852182059893
77,8.668206576,1.633367409,0.8649888668,1.277560819,K2III,14.29585833,-0.000295954967529297
78,9.029759124,2.442972639,0.8478129328,1.012627175,G8III,16.54152734,0.0023017502607449755
79,6.992136847,7.433638202,0.9562606599,0.9061165657,G6/G8III,16.5654875,0.0019497190672940743
80,8.855393923,2.75870681,1.029043483,0.6155001951,F3V,16.82515528,0.998260926802904
81,7.596033049,5.82824728,1.04993291,0.4494723385,G5IV:w...,16.93697133,0.9984799247590236
82,8.139770237,2.00262293,0.9570283729,-0.2327344805,B8III,14.8854592,0.003743192284006639
83,8.353406315,5.420005393,0.7615261772,0.6058897768,F3V,17.30448371,0.9986885780575631
84,3.57193119,2.511668428,0.6797029284,1.36206516,K5III,13.45801385,-0.00494554640925453
85,5.583680418,8.243098111,0.618343255,1.090255632,K1III,16.09920438,3.68133862065209e-05
86,8.789738023,8.903314366,0.8523812723,0.4443116035,A7V,17.29999505,1.0002651679418482
87,3.330737691,15.90825023,0.8354847043,0.252736003,F0Vn,16.88309744,0.9974709032816486
88,8.338020153,2.042706257,0.9635690577,1.220420014,K2/K3III,14.30089716,-0.00023862769814906383
89,9.276171043,1.016916988,1.374017183,-0.0824108796,B2III,14.89155592,0.005127473106753011
90,8.048291837,2.582907551,1.27704237,0.983332255,K0III,15.33083084,0.0009936004769769378
91,4.062187541,33.08190723,0.4148608901,0.4885109846,G2V,19.25223616,1.0010040569673624
92,7.732976363,5.311031404,1.041733425,1.129322784,K0III,17.53813444,0.0010745406612231148
93,7.226371199,1.076847101,1.164711954,1.416070286,M0III,12.78593628,-0.003095117053593379
94,8.651168759,4.235743984,1.169001406,0.4836309452,F0V+F/G,19.05101247,0.9993611984493058
95,4.080795563,30.54437395,0.7950301152,0.339902411,F6IV-Vs,17.87532582,1.0005040186957717
96,8.79789801,3.53875108,1.587583383,0.3201634104,F5V,16.55698998,0.999006343979214
97,7.894056185,1.933714819,0.8061008302,-0.05605700133,B6III,15.04078495,0.004755659330057302
98,8.429105751,1.346701855,0.8913350109,1.014987564,G8III,13.7546469,0.0008847808080770665
